"Season","Week","Season Type","Neutral Site","Venue","Home Team","Home Conference","Home Division","Home Points","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Team","Away Conference","Away Division","Away Points","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo"
"2023","2","regular","false","Bill Snyder Family Football Stadium","Kansas State","Big 12","fbs","42","0.9957161555474973","1740","1795","Troy","Sun Belt","fbs","13","0.004283844452502739","1556","1501"
"2023","2","regular","false","Carter-Finley Stadium","NC State","ACC","fbs","24","0.0030141430969225203","1553","1528","Notre Dame","FBS Independents","fbs","45","0.9969858569030775","1819","1844"
"2023","2","regular","false","Alumni Stadium","Boston College","ACC","fbs","31","0.38388198707986393","1434","1434","Holy Cross","Patriot","fcs","28","0.616118012920136","",""
"2023","2","regular","false","Beaver Stadium","Penn State","Big Ten","fbs","63","0.9989226343908962","1713","1713","Delaware","CAA","fcs","7","0.0010773656091037642","",""
"2023","2","regular","false","Ohio Stadium","Ohio State","Big Ten","fbs","35","0.9971499912795524","1955","1955","Youngstown State","MVFC","fcs","7","0.0028500087204476054","",""
"2023","2","regular","false","Blaik Field at Michie Stadium","Army","FBS Independents","fbs","57","0.9989576688808597","1530","1530","Delaware State","MEAC","fcs","0","0.0010423311191403162","",""
"2023","2","regular","false","Bobby Dodd Stadium at Historic Grant Field","Georgia Tech","ACC","fbs","48","0.9940135201634523","1347","1347","South Carolina State","MEAC","fcs","13","0.0059864798365476535","",""
"2023","2","regular","false","Kelly/Shorts Stadium","Central Michigan","Mid-American","fbs","45","0.7678934390106461","1482","1482","New Hampshire","CAA","fcs","42","0.2321065609893539","",""
"2023","2","regular","false","Doyt Perry Stadium","Bowling Green","Mid-American","fbs","38","0.9987663302095987","1210","1210","Eastern Illinois","Big South-OVC","fcs","15","0.0012336697904012928","",""
"2023","2","regular","false","Memorial Stadium","Clemson","ACC","fbs","66","0.998949100998647","1684","1684","Charleston Southern","Big South-OVC","fcs","17","0.0010508990013530228","",""
"2023","2","regular","false","Commonwealth Stadium","Kentucky","SEC","fbs","28","0.8019849969778862","1730","1730","Eastern Kentucky","UAC","fcs","17","0.19801500302211383","",""
"2023","2","regular","false","LaVell Edwards Stadium","BYU","Big 12","fbs","41","0.9859386666627835","1544","1544","Southern Utah","UAC","fcs","16","0.014061333337216486","",""
"2023","2","regular","false","Navy-Marine Corps Memorial Stadium","Navy","American Athletic","fbs","24","0.9981515626479444","1320","1320","Wagner","NEC","fcs","0","0.001848437352055643","",""
"2023","2","regular","false","Brigham Field at Huskie Stadium","Northern Illinois","Mid-American","fbs","11","0.92613424988868","1385","1385","Southern Illinois","MVFC","fcs","14","0.07386575011132002","",""
"2023","2","regular","false","Jack Trice Stadium","Iowa State","Big 12","fbs","13","0.1341085705748727","1536","1533","Iowa","Big Ten","fbs","20","0.8658914294251273","1664","1667"
"2023","2","regular","false","Michigan Stadium","Michigan","Big Ten","fbs","35","0.9989398240559731","1941","1951","UNLV","Mountain West","fbs","7","0.0010601759440268532","1350","1340"
"2023","2","regular","false","Alamodome","UT San Antonio","American Athletic","fbs","20","0.9198435544139756","1604","1600","Texas State","Sun Belt","fbs","13","0.08015644558602442","1349","1353"
"2023","2","regular","false","Warren McGuirk Alumni Stadium","UMass","FBS Independents","fbs","28","0.03439324067871298","1048","1043","Miami (OH)","Mid-American","fbs","41","0.965606759321287","1316","1321"
"2023","2","regular","false","Carrier Dome","Syracuse","ACC","fbs","48","0.9989707761942761","1476","1581","Western Michigan","Mid-American","fbs","7","0.0010292238057239","1367","1262"
"2023","2","regular","false","Ryan Field","Northwestern","Big Ten","fbs","38","0.9913348271383452","1296","1390","UTEP","Conference USA","fbs","7","0.008665172861654802","1370","1276"
"2023","2","regular","false","Glass Bowl","Toledo","Mid-American","fbs","71","0.9989700804193442","1531","1531","Texas Southern","SWAC","fcs","3","0.0010299195806557915","",""
"2023","2","regular","false","Hard Rock Stadium","Miami","ACC","fbs","48","0.9769251650199458","1481","1529","Texas A&M","SEC","fbs","33","0.02307483498005425","1656","1608"
"2023","2","regular","false","Spartan Stadium","Michigan State","Big Ten","fbs","45","0.9988727833189613","1617","1617","Richmond","CAA","fcs","14","0.0011272166810386564","",""
"2023","2","regular","false","Benson Field at Yulman Stadium","Tulane","American Athletic","fbs","20","0.0508540891906328","1671","1621","Ole Miss","SEC","fbs","37","0.9491459108093672","1589","1639"
"2023","2","regular","false","Dowdy-Ficklen Stadium","East Carolina","American Athletic","fbs","13","0.016215173997354115","1481","1443","Marshall","Sun Belt","fbs","31","0.9837848260026458","1542","1580"
"2023","2","regular","false","War Memorial Stadium","Wyoming","Mountain West","fbs","31","0.9969176629572242","1500","1500","Portland State","Big Sky","fcs","17","0.003082337042775829","",""
"2023","2","regular","false","Donald W. Reynolds Razorback Stadium Frank Broyles Field","Arkansas","SEC","fbs","28","0.9987026109024985","1624","1641","Kent State","Mid-American","fbs","6","0.0012973890975015445","1262","1245"
"2023","2","regular","false","Spartan Stadium","San José State","Mountain West","fbs","59","0.9989435585224878","1223","1223","Cal Poly","Big Sky","fcs","3","0.00105644147751216","",""
"2023","2","regular","false","Hancock Whitney Stadium","South Alabama","Sun Belt","fbs","35","0.9983003622067391","1313","1313","Southeastern Louisiana","Southland","fcs","17","0.0016996377932608775","",""
"2023","2","regular","false","Neyland Stadium","Tennessee","SEC","fbs","30","0.9885686861865587","1735","1735","Austin Peay","UAC","fcs","13","0.011431313813441313","",""
"2023","2","regular","false","Husky Stadium","Washington","Pac-12","fbs","43","0.9988868646528899","1774","1822","Tulsa","American Athletic","fbs","10","0.0011131353471101058","1418","1370"
"2023","2","regular","false","Kenan Memorial Stadium","North Carolina","ACC","fbs","40","0.4305325101567739","1579","1585","Appalachian State","Sun Belt","fbs","34","0.5694674898432261","1562","1556"
"2023","2","regular","false","UB Stadium","Buffalo","Mid-American","fbs","37","","1354","1354","Fordham","Patriot","fcs","40","","",""
"2023","2","regular","false","Mountaineer Field at Milan Puskar Stadium","West Virginia","Big 12","fbs","56","0.9989255144854605","1447","1447","Duquesne","NEC","fcs","17","0.0010744855145394805","",""
"2023","2","regular","false","Williams Stadium","Liberty","Conference USA","fbs","33","0.9959762772187638","1446","1465","New Mexico State","Conference USA","fbs","17","0.004023722781236194","1274","1255"
"2023","2","regular","false","Paulson Stadium","Georgia Southern","Sun Belt","fbs","49","0.2766170980841154","1418","1455","UAB","American Athletic","fbs","35","0.7233829019158846","1510","1473"
"2023","2","regular","false","Foreman Field","Old Dominion","Sun Belt","fbs","38","0.4923633262379752","1333","1355","Louisiana","Sun Belt","fbs","31","0.5076366737620248","1537","1515"
"2023","2","regular","false","Summa Field at InfoCision Stadium","Akron","Mid-American","fbs","24","0.5925609444676093","1094","1094","Morgan State","MEAC","fcs","21","0.4074390555323907","",""
"2023","2","regular","false","Gaylord Family Oklahoma Memorial Stadium","Oklahoma","Big 12","fbs","28","0.9986322578618844","1793","1807","SMU","American Athletic","fbs","11","0.0013677421381156352","1535","1521"
"2023","2","regular","false","FAU Stadium","Florida Atlantic","American Athletic","fbs","10","0.0013356083827620715","1424","1415","Ohio","Mid-American","fbs","17","0.998664391617238","1473","1482"
"2023","2","regular","false","Wallace Wade Stadium","Duke","ACC","fbs","42","0.9989541304569391","1250","1250","Lafayette","Patriot","fcs","7","0.0010458695430608511","",""
"2023","2","regular","false","Heinz Field","Pittsburgh","ACC","fbs","21","0.00292031897467688","1624","1613","Cincinnati","Big 12","fbs","27","0.9970796810253231","1626","1637"
"2023","2","regular","false","FIU Stadium","Florida International","Conference USA","fbs","46","0.9947576783865323","1074","1101","North Texas","American Athletic","fbs","39","0.005242321613467715","1357","1330"
"2023","2","regular","false","Rice Stadium","Rice","American Athletic","fbs","43","0.9887442598013039","1194","1199","Houston","Big 12","fbs","41","0.01125574019869613","1580","1575"
"2023","2","regular","false","Bryant Denny Stadium","Alabama","SEC","fbs","24","0.3438392842771529","2029","1984","Texas","Big 12","fbs","34","0.6561607157228471","1776","1821"
