"Year","Team","Conference","Division","Rating","Ranking"
"2023","Western Kentucky","Conference USA","","0.4","63"
"2023","Northwestern","Big Ten","West","0.2","64"
"2023","Michigan State","Big Ten","East","0.1","65"
"2023","Army","FBS Independents","","0.1","65"
"2023","Illinois","Big Ten","West","-0.3","67"
"2023","Miami (OH)","Mid-American","East","-0.4","68"
"2023","Colorado State","Mountain West","Mountain","-0.4","68"
"2023","James Madison","Sun Belt","East","-0.4","68"
"2023","South Florida","American Athletic","","-0.6","71"
"2023","Sacramento State","Big Sky","","-1.2","72"
"2023","Houston","Big 12","","-1.2","72"
"2023","Utah State","Mountain West","Mountain","-1.7","74"
"2023","Montana State","Big Sky","","-1.8","75"
"2023","Nebraska","Big Ten","West","-2.3","76"
"2023","Ohio","Mid-American","East","-2.4","77"
"2023","Arizona","Pac-12","","-2.4","77"
"2023","Toledo","Mid-American","West","-2.7","79"
"2023","UNLV","Mountain West","West","-2.7","79"
"2023","Minnesota","Big Ten","West","-2.8","81"
"2023","Troy","Sun Belt","West","-2.9","82"
"2023","Mississippi State","SEC","West","-3.3","83"
"2023","Middle Tennessee","Conference USA","","-3.8","84"
"2023","East Carolina","American Athletic","","-3.9","85"
"2023","Baylor","Big 12","","-4.1","86"
"2023","Iowa State","Big 12","","-4.1","86"
"2023","Navy","American Athletic","","-4.3","88"
"2023","Rice","American Athletic","","-4.6","89"
"2023","Tulsa","American Athletic","","-4.7","90"
"2023","NC State","ACC","Atlantic","-5.2","91"
"2023","Southern Illinois","MVFC","","-5.2","91"
"2023","Pittsburgh","ACC","Coastal","-5.3","93"
"2023","Albany","CAA","","-5.5","94"
"2023","Purdue","Big Ten","West","-5.6","95"
"2023","South Dakota State","MVFC","","-5.8","96"
"2023","Stanford","Pac-12","","-6.2","97"
"2023","UT San Antonio","American Athletic","","-6.2","97"
"2023","Virginia Tech","ACC","Coastal","-6.2","97"
"2023","South Alabama","Sun Belt","West","-6.5","100"
"2023","South Dakota","MVFC","","-7.1","101"
