"Season","Id","Name","Position","Team","Conference","CountablePlays","AveragePPA All","AveragePPA Pass","AveragePPA Rush","TotalPPA All","TotalPPA Pass","TotalPPA Rush"
"2023","5095915","Moussa Barry","WR","Western Kentucky","Conference USA","5","1.047","1.047","","5.236","5.236",""
"2023","4899418","Javonte Vereen","TE","NC State","ACC","7","1.048","0.888","2.007","7.337","5.331","2.007"
"2023","4428753","Lincoln Victor","WR","Washington State","Pac-12","16","1.054","1.054","","16.869","16.869",""
"2023","4427834","Erick All","TE","Iowa","Big Ten","6","1.055","1.055","","6.328","6.328",""
"2023","4429184","Elijhah Badger","WR","Arizona State","Pac-12","11","1.056","1.142","0.67","11.617","10.278","1.339"
"2023","4870612","Zachariah Branch","WR","USC","Pac-12","11","1.058","1.196","0.435","11.639","10.768","0.87"
"2023","4567545","Jayden Harrison","WR","Marshall","Sun Belt","5","1.062","1.062","","5.312","5.312",""
"2023","4578462","Odieu Hilaire","WR","Bowling Green","Mid-American","10","1.065","1.065","","10.649","10.649",""
"2023","4361100","Jack Westover","TE","Washington","Pac-12","5","1.071","1.071","","5.353","5.353",""
"2023","4690461","Robert Williams","WR","Louisiana","Sun Belt","8","1.072","1.072","","8.575","8.575",""
"2023","4431053","Mac Dalena","WR","Fresno State","Mountain West","6","1.074","1.115","0.871","6.446","5.575","0.871"
"2023","4918412","Harvey Broussard","WR","Louisiana","Sun Belt","5","1.075","1.075","","5.377","5.377",""
"2023","4578489","Abdul-Fatai Ibrahim","WR","Bowling Green","Mid-American","8","1.077","0.953","1.946","8.617","6.671","1.946"
"2023","4689721","Ty Robinson","WR","Ball State","Mid-American","5","1.084","1.084","","5.418","5.418",""
"2023","4382936","Jeremiah Hixon","WR","New Mexico","Mountain West","6","1.084","1.084","","6.506","6.506",""
"2023","4873126","Chris Lewis","WR","Troy","Sun Belt","5","1.085","1.085","","5.423","5.423",""
"2023","4875912","Tejhaun Palmer","WR","UAB","American Athletic","9","1.088","1.088","","9.794","9.794",""
"2023","4683263","Heinrich Haarberg","QB","Nebraska","Big Ten","5","1.096","0.751","2.475","5.479","3.004","2.475"
"2023","4685784","Tre Watson","TE","Fresno State","Mountain West","8","1.097","1.097","","8.778","8.778",""
"2023","5092508","Colbie Young","WR","Miami","ACC","16","1.098","1.098","","17.562","17.562",""
"2023","4427238","Dillon Gabriel","QB","Oklahoma","Big 12","20","1.1","1.05","1.551","21.994","18.892","3.102"
"2023","4431299","Rome Odunze","WR","Washington","Pac-12","18","1.12","0.982","2.224","20.166","15.719","4.448"
"2023","4597500","Adonai Mitchell","WR","Texas","Big 12","6","1.123","1.332","0.074","6.736","6.662","0.074"
"2023","4430034","Xavier Legette","WR","South Carolina","SEC","18","1.133","1.362","-0.701","20.396","21.798","-1.401"
"2023","4682761","Luke Wysong","WR","New Mexico","Mountain West","6","1.135","1.135","","6.809","6.809",""
"2023","4570738","Ke'Shawn Williams","WR","Wake Forest","ACC","8","1.137","1.267","0.224","9.093","8.869","0.224"
"2023","4690923","Ben Sinnott","TE","Kansas State","Big 12","6","1.143","1.194","0.891","6.859","5.968","0.891"
"2023","4565184","Jerand Bradley","WR","Texas Tech","Big 12","12","1.143","1.143","","13.714","13.714",""
"2023","4432327","Kendall Karr","TE","Coastal Carolina","Sun Belt","5","1.145","1.145","","5.727","5.727",""
"2023","4426496","Cade Stover","TE","Ohio State","Big Ten","6","1.151","1.151","","6.903","6.903",""
"2023","4693817","Micah Davis","WR","Utah State","Mountain West","5","1.166","1.166","","5.832","5.832",""
"2023","4361092","Austin Osborne","WR","Bowling Green","Mid-American","6","1.178","1.178","","7.069","7.069",""
